handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
blikje-vogels;Blikje vogels;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/blikje-vogels
bloedsinaasappel;Bloedsinaasappel;Tante Rie;Losse thee;;;53;48;2;;;;;https://tanterie.nl/products/bloedsinaasappel
booster;Booster (uitlopend);Tante Rie;Losse thee;;;63;91;1;;;;;https://tanterie.nl/products/booster
bornse-zomer;Bonjour!;Tante Rie;Losse thee;;;62;63;1;;;;;https://tanterie.nl/products/bornse-zomer
brandnetel;Brandnetel;Tante Rie;Losse thee;;;48;41;1;;;;;https://tanterie.nl/products/brandnetel
bunzlau-textiel;Bunzlau textiel;Tante Rie;;ja;ja;;0;0;;ja;ja;;https://tanterie.nl/products/bunzlau-textiel
cactus-vijg;Cactus Vijg;Tante Rie;Losse thee;;;61;65;1;;;;;https://tanterie.nl/products/cactus-vijg
cappuccinobeker-0-5l-dier-hond;Cappuccinobeker 0,5l Dier Hond;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/cappuccinobeker-0-5l-dier-hond
cappuccinobeker-0-5l-dier-kat;Cappuccinobeker 0,5l Dier Kat;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/cappuccinobeker-0-5l-dier-kat
ceylon-op-neluwa;Ceylon OP Neluwa (uitlopend);Tante Rie;Losse thee;;;63;59;1;;;;;https://tanterie.nl/products/ceylon-op-neluwa
china-jasmijn;China Jasmijn;Tante Rie;Losse thee;;;58;44;1;;;ja;;https://tanterie.nl/products/china-jasmijn
china-lapsang-souchon;China Lapsang Souchon;Tante Rie;Losse thee;;;57;36;1;;;;;https://tanterie.nl/products/china-lapsang-souchon
china-sencha-bio-1;China Sencha;Tante Rie;Losse thee;;;64;47;1;;;;ja;https://tanterie.nl/products/china-sencha-bio-1
chinese-lotus;Chinese Lotus;Tante Rie;Losse thee;;;62;65;1;;;;;https://tanterie.nl/products/chinese-lotus
chocoladebal;Chocoladebal;Tante Rie;;ja;ja;;0;0;;ja;ja;;https://tanterie.nl/products/chocoladebal
citrus-betovering;Citrus Betovering;Tante Rie;Losse thee;;;75;68;1;;;;;https://tanterie.nl/products/citrus-betovering
citrus-gember;Citrus Gember;Tante Rie;Losse thee;;;60;31;1;;;;;https://tanterie.nl/products/citrus-gember
coldbrew-theefles-kaki;Coldbrew theefles - Kaki;Tante Rie;;;ja;36;0;1;;ja;;;https://tanterie.nl/products/coldbrew-theefles-kaki
cream-of-ireland;Cream of Ireland;Tante Rie;Losse thee;;;66;45;1;;;;;https://tanterie.nl/products/cream-of-ireland
creme-brulee;Creme Brulee;Tante Rie;Losse thee;;;62;36;1;;;;;https://tanterie.nl/products/creme-brulee
darjeeling-mim;Darjeeling mim;Tante Rie;Losse thee;;;59;47;1;;;;;https://tanterie.nl/products/darjeeling-mim
dorset-thee;Dorset Thee;Tante Rie;Losse thee;;;77;47;1;;;;;https://tanterie.nl/products/dorset-thee
earl-grey-blue-star;Earl Grey Blue Star;Tante Rie;Losse thee;;;68;50;1;;;;;https://tanterie.nl/products/earl-grey-blue-star
elfjesthee;Elfjesthee;Tante Rie;Losse thee;;;65;63;1;;;;;https://tanterie.nl/products/elfjesthee
english-breakfast-1;English Breakfast;Tante Rie;Losse thee;;;53;46;1;;;;ja;https://tanterie.nl/products/english-breakfast-1
exotic-punch;Exotic Punch;Tante Rie;Losse thee;;;73;43;1;;;ja;;https://tanterie.nl/products/exotic-punch
exotisch-groen;Exotisch Groen;Tante Rie;Losse thee;;;64;55;1;;;;;https://tanterie.nl/products/exotisch-groen
festival;Festival;Tante Rie;Losse thee;;;59;47;1;;;;;https://tanterie.nl/products/festival
flowers-theeblik;Flowers thee bewaarblik (100 gram);Tante Rie;;;;60;36;2;;;ja;;https://tanterie.nl/products/flowers-theeblik
frisse-framboos;Frisse Framboos;Tante Rie;Losse thee;;;63;46;1;;;;;https://tanterie.nl/products/frisse-framboos
fruitmand;Fruitmand;Tante Rie;Losse thee;;;61;62;1;;;;;https://tanterie.nl/products/fruitmand
geluksthee;Geluksthee;Tante Rie;Losse thee;;;72;45;1;;;;;https://tanterie.nl/products/geluksthee
gember-chai;Gember Chai;Tante Rie;Losse thee;;;58;43;1;;;;;https://tanterie.nl/products/gember-chai
gemberwortel;Gemberwortel;Tante Rie;Losse thee;;;50;33;1;;;ja;;https://tanterie.nl/products/gemberwortel
green-de-cassis;Green de Cassis;Tante Rie;Losse thee;;;59;48;1;;;;;https://tanterie.nl/products/green-de-cassis
groene-chai;Groene Chai;Tante Rie;Losse thee;;;70;60;1;;;;;https://tanterie.nl/products/groene-chai
groene-citroen;Groene Citroen;Tante Rie;Losse thee;;;58;43;1;;;;;https://tanterie.nl/products/groene-citroen
groene-cranberry;Groene Cranberry;Tante Rie;Losse thee;;;63;55;1;;;;;https://tanterie.nl/products/groene-cranberry
groene-earl-grey;Groene Earl Grey;Tante Rie;Losse thee;;;62;60;1;;;;;https://tanterie.nl/products/groene-earl-grey
groene-meloen;Groene Meloen;Tante Rie;Losse thee;;;67;51;1;;;;;https://tanterie.nl/products/groene-meloen
groene-vanille;Groene Vanille;Tante Rie;Losse thee;;;60;48;1;;;;;https://tanterie.nl/products/groene-vanille
harverwarmer;Hartverwarmer;Tante Rie;Losse thee;;;69;58;1;;;;;https://tanterie.nl/products/harverwarmer
herfstkruiden;Herfstkruiden;Tante Rie;Losse thee;;;74;63;1;;;;;https://tanterie.nl/products/herfstkruiden
hibiscus-thee;Hibiscus thee;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/hibiscus-thee
houten-theeschep;Houten theeschep;Tante Rie;;;;66;49;4;;;;;https://tanterie.nl/products/houten-theeschep
indian-summer;Indian Summer;Tante Rie;Losse thee;;;63;43;1;;;ja;;https://tanterie.nl/products/indian-summer
innerlijke-rust-bio;Innerlijke Rust BIO;Tante Rie;Losse thee;;;68;63;1;;;;;https://tanterie.nl/products/innerlijke-rust-bio
kaneel;Kaneel;Tante Rie;Losse thee;;;58;36;1;;;;;https://tanterie.nl/products/kaneel
kerst-thee;Kerst thee;Tante Rie;Losse thee;;;64;67;1;;;ja;;https://tanterie.nl/products/kerst-thee
kerstrgoetjes;Kerstgroetjes;Tante Rie;Losse thee;;;75;72;1;;;;;https://tanterie.nl/products/kerstrgoetjes
kokos-truffel;Kokos Truffel;Tante Rie;Losse thee;;;67;56;1;;;;;https://tanterie.nl/products/kokos-truffel
kom-15cm-dier-hond;Kom 15cm Dier Hond;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/kom-15cm-dier-hond
kom-15cm-dier-kat;Kom 15cm Dier Kat;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/kom-15cm-dier-kat
kruiden-chai;Kruiden Chai;Tante Rie;Losse thee;;;67;44;1;;;;;https://tanterie.nl/products/kruiden-chai
kruizemunt-nana-mint;Kruizemunt Nana Mint;Tante Rie;Losse thee;;;63;45;1;;;;;https://tanterie.nl/products/kruizemunt-nana-mint
lapsang-smooth;Lapsang Smooth;Tante Rie;Losse thee;;;56;41;2;;;;;https://tanterie.nl/products/lapsang-smooth
lichthuisje-met-trapgevel-sint-pietenhuis;Lichthuisje met Trapgevel Sint Pietenhuis;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/lichthuisje-met-trapgevel-sint-pietenhuis
lichthuisje-trapgevel-halloween-spookhuis;Lichthuisje Trapgevel Halloween Spookhuis;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/lichthuisje-trapgevel-halloween-spookhuis
maatschepje;Maatschepje;Tante Rie;;;;66;46;2;;;;;https://tanterie.nl/products/maatschepje
mams-thee;Mams Thee;Tante Rie;Losse thee;;;62;43;1;;;;;https://tanterie.nl/products/mams-thee
marsala-chai;Marsala Chai;Tante Rie;Losse thee;;;70;51;1;;;;;https://tanterie.nl/products/marsala-chai
mazagran-0-5l-oma;Mazagran 0,5l Oma;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/mazagran-0-5l-oma
minimok-rode-hartjes-0-2l;Minimok Rode hartjes 0,2L;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/minimok-rode-hartjes-0-2l
mooie-dag;Mooie Dag;Tante Rie;Losse thee;;;60;41;1;;;;;https://tanterie.nl/products/mooie-dag
mooie-dromen-bio;Mooie Dromen;Tante Rie;Losse thee;;;73;70;1;;;;;https://tanterie.nl/products/mooie-dromen-bio
nu-niet-storen;Sinaasappel vanille (uitlopend);Tante Rie;Losse thee;;;66;40;1;;;;;https://tanterie.nl/products/nu-niet-storen
opkikkertje;Opkikkertje;Tante Rie;Losse thee;;;69;39;1;;;;;https://tanterie.nl/products/opkikkertje
oud-borne;Oud Borne;Tante Rie;Losse thee;;;44;45;2;;;;;https://tanterie.nl/products/oud-borne
ovaal-bord-27cm-sint-iconen;Ovaal Bord 27cm Sint Iconen;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/ovaal-bord-27cm-sint-iconen
ovenwant-even-bijkletsen-kitchen;Ovenwant Even Bijkletsen Kitchen;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/ovenwant-even-bijkletsen-kitchen
pina-colada;Pina Colada;Tante Rie;Losse thee;;;67;65;1;;;;;https://tanterie.nl/products/pina-colada
powervrouw;Powervrouw;Tante Rie;Losse thee;;;80;41;1;;;;;https://tanterie.nl/products/powervrouw
proefpakket-groene-thee;Proefpakket Groene Thee;Tante Rie;Cadeau;;;69;39;1;;;;;https://tanterie.nl/products/proefpakket-groene-thee
proefpakket-groene-thee-kopie;Proefpakket Kruidenthee;Tante Rie;Cadeau;;;71;41;1;;;;ja;https://tanterie.nl/products/proefpakket-groene-thee-kopie
proefpakket-kruidenthee-kopie;Proefpakket Rooibos;Tante Rie;Cadeau;;;68;39;1;;;;ja;https://tanterie.nl/products/proefpakket-kruidenthee-kopie
proefpakket-zwarte-thee;Proefpakket Zwarte Thee;Tante Rie;Cadeau;;;69;52;1;;;;;https://tanterie.nl/products/proefpakket-zwarte-thee
red-nose-rudolph;Red Nose Rudolph;Tante Rie;Losse thee;;;66;51;1;;;ja;;https://tanterie.nl/products/red-nose-rudolph
relax;Relax;Tante Rie;;;;58;45;1;;;;;https://tanterie.nl/products/relax
rice-a;Rice A;Tante Rie;;;;18;35;5;;;;;https://tanterie.nl/products/rice-a
rice-b;Rice B;Tante Rie;;;;18;34;6;;;;;https://tanterie.nl/products/rice-b
rice-c;Rice C;Tante Rie;;;;18;30;6;;;;;https://tanterie.nl/products/rice-c
rice-d;Rice D;Tante Rie;;;;18;28;5;;;;;https://tanterie.nl/products/rice-d
rice-e;Rice E;Tante Rie;;;;18;30;5;;;;;https://tanterie.nl/products/rice-e
rice-f;Rice F;Tante Rie;;;;18;27;7;;;;;https://tanterie.nl/products/rice-f
rice-g;Rice G;Tante Rie;;;;18;26;5;;;;;https://tanterie.nl/products/rice-g
rice-h;Rice H;Tante Rie;;;;18;32;5;;;;;https://tanterie.nl/products/rice-h
rice-i;Rice I;Tante Rie;;;;18;25;4;;;;;https://tanterie.nl/products/rice-i
rice-j;Rice J;Tante Rie;;;;18;32;5;;;;;https://tanterie.nl/products/rice-j
rice-k;Rice K;Tante Rie;;;;18;28;4;;;;;https://tanterie.nl/products/rice-k
rice-l;Rice L;Tante Rie;;;;18;32;4;;;;;https://tanterie.nl/products/rice-l
rice-m;Rice M;Tante Rie;;;;18;35;4;;;ja;;https://tanterie.nl/products/rice-m
rice-n;Rice N;Tante Rie;;;;18;31;5;;;;;https://tanterie.nl/products/rice-n
rice-o;Rice O;Tante Rie;;;;18;27;5;;;;;https://tanterie.nl/products/rice-o
rice-p;Rice P;Tante Rie;;;;18;31;7;;;;;https://tanterie.nl/products/rice-p
rice-q;Rice Q;Tante Rie;;ja;ja;;34;2;;;;;https://tanterie.nl/products/rice-q
rice-r;Rice R;Tante Rie;;;;18;25;5;;;;;https://tanterie.nl/products/rice-r
rice-s;Rice S;Tante Rie;;;;18;29;4;;;;;https://tanterie.nl/products/rice-s
rice-t;Rice T;Tante Rie;;;;18;26;6;;;;;https://tanterie.nl/products/rice-t
rice-u;Rice U;Tante Rie;;;;18;28;5;;;;;https://tanterie.nl/products/rice-u
rice-v;Rice V;Tante Rie;;;;18;31;6;;;;;https://tanterie.nl/products/rice-v
rice-w;Rice W;Tante Rie;;;;18;28;4;;;;;https://tanterie.nl/products/rice-w
rice-x;Rice X;Tante Rie;;;;18;31;5;;;;;https://tanterie.nl/products/rice-x
rice-y;Rice Y;Tante Rie;;;;18;29;5;;;;;https://tanterie.nl/products/rice-y
rice-z;Rice Z;Tante Rie;;;;18;34;6;;;;;https://tanterie.nl/products/rice-z
rooibos-amaretto;Rooibos Amaretto;Tante Rie;Losse thee;;;69;64;1;;;;;https://tanterie.nl/products/rooibos-amaretto
rooibos-caramel-room;Rooibos Caramel-room;Tante Rie;Losse thee;;;66;52;1;;;;;https://tanterie.nl/products/rooibos-caramel-room
rooibos-honing;Rooibos Honing;Tante Rie;Losse thee;;;59;38;1;;;;;https://tanterie.nl/products/rooibos-honing
rooibos-met-pit;Rooibos met Pit;Tante Rie;Losse thee;;;59;49;1;;;;;https://tanterie.nl/products/rooibos-met-pit
rooibos-naturel-bio;Rooibos Naturel BIO;Tante Rie;Losse thee;;;63;46;1;;;;;https://tanterie.nl/products/rooibos-naturel-bio
rooibos-sinaasappel;Rooibos Sinaasappel;Tante Rie;Losse thee;;;53;42;2;;;;;https://tanterie.nl/products/rooibos-sinaasappel
rooibos-vanille;Rooibos Vanille;Tante Rie;Losse thee;;;49;45;2;;;;;https://tanterie.nl/products/rooibos-vanille
rooibos-voor-de-open-haard;Rooibos voor de Open Haard;Tante Rie;Losse thee;;;59;48;2;;;;;https://tanterie.nl/products/rooibos-voor-de-open-haard
rozemarijn;Rozemarijn;Tante Rie;Losse thee;;;56;44;1;;;;;https://tanterie.nl/products/rozemarijn
rust;Rust;Tante Rie;Losse thee;;;68;38;1;;;;;https://tanterie.nl/products/rust
schort-even-bijkletsen-kitchen;Schort Even Bijkletsen Kitchen;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/schort-even-bijkletsen-kitchen
sinaasappel-chai;Sinaasappel Chai;Tante Rie;Losse thee;;;66;66;2;;;;;https://tanterie.nl/products/sinaasappel-chai
sinas-gember;Sinas Gember;Tante Rie;Losse thee;;;63;63;2;;;;;https://tanterie.nl/products/sinas-gember
sinterklaasthee;Sinterklaasthee;Tante Rie;Losse thee;;;60;34;1;;;ja;;https://tanterie.nl/products/sinterklaasthee
slaap-lekker;Slaap Lekker;Tante Rie;Losse thee;;;65;67;2;;;;;https://tanterie.nl/products/slaap-lekker
spanjaards-thee;Spanjaards thee;Tante Rie;Losse thee;;;61;53;1;;;;;https://tanterie.nl/products/spanjaards-thee
speculaas-thee;Speculaas Thee;Tante Rie;Losse thee;;;49;48;1;;;;;https://tanterie.nl/products/speculaas-thee
sportieve-thee;Sportieve Thee;Tante Rie;Losse thee;;;65;46;1;;;;;https://tanterie.nl/products/sportieve-thee
sterke-vrouw;Sterke Vrouw;Tante Rie;Losse thee;;;64;67;2;;;;;https://tanterie.nl/products/sterke-vrouw
sterrennacht;Sterrennacht;Tante Rie;Losse thee;;;69;50;1;;;ja;;https://tanterie.nl/products/sterrennacht
stoere-mannenthee;Stoere Mannenthee;Tante Rie;Losse thee;;;62;54;1;;;;;https://tanterie.nl/products/stoere-mannenthee
taartje-in-een-theeglas;Taartje in een Theeglas;Tante Rie;Losse thee;;;70;46;1;;;;;https://tanterie.nl/products/taartje-in-een-theeglas
tante-rie-cadeaubon;Tante Rie Cadeaubon;Tante Rie;;ja;ja;;2;1;1;;ja;;https://tanterie.nl/products/tante-rie-cadeaubon
teeli-flip-s-theefilter;Teeli Flip S - Theefilter;Tante Rie;;;;69;51;1;;;;;https://tanterie.nl/products/teeli-flip-s-theefilter
teeli-flip-xs-theefilter;Teeli Flip XS - Theefilter;Tante Rie;;;;70;103;1;;;;;https://tanterie.nl/products/teeli-flip-xs-theefilter
thee-ei;Thee ei;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/thee-ei
thee-ei-bij;Thee ei bij;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/thee-ei-bij
thee-ei-kat;Thee ei kat;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/thee-ei-kat
thee-filter-zonder-uitlekschaaltje;Thee filter zonder uitlekschaaltje;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/thee-filter-zonder-uitlekschaaltje
thee-van-opa;Thee Van Opa;Tante Rie;Losse thee;;;63;43;1;;;;;https://tanterie.nl/products/thee-van-opa
thee-van-tante-annie;Morgenbloesem;Tante Rie;Losse thee;;;67;59;1;;;;;https://tanterie.nl/products/thee-van-tante-annie
thee-van-tante-ginie;Thee van Tante Ginie;Tante Rie;Losse thee;;;60;45;1;;;;;https://tanterie.nl/products/thee-van-tante-ginie
thee-van-tante-rie;Thee van Tante Rie;Tante Rie;Losse thee;;;70;51;1;;;;;https://tanterie.nl/products/thee-van-tante-rie
theezeef-met-uitlekschaaltje-rvs;Theezeef met uitlekschaaltje RVS;Tante Rie;;;;62;52;4;;;;;https://tanterie.nl/products/theezeef-met-uitlekschaaltje-rvs
theezeefje-rvs-met-uitlekschaaltje;Theezeefje RVS met uitlekschaaltje;Tante Rie;;;;64;54;3;;;;;https://tanterie.nl/products/theezeefje-rvs-met-uitlekschaaltje
vanille;Vanille;Tante Rie;Losse thee;;;58;43;1;;;;;https://tanterie.nl/products/vanille
vergeet-me-niet;Vergeet Me Niet;Tante Rie;Losse thee;;;71;52;1;;;;;https://tanterie.nl/products/vergeet-me-niet
voorraadpot-vierkant-16x20cm-sint-momenten;Voorraadpot vierkant 16x20cm Sint Momenten;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/voorraadpot-vierkant-16x20cm-sint-momenten
vriendschap;Vriendschap;Tante Rie;Losse thee;;;62;46;1;;;;;https://tanterie.nl/products/vriendschap
wilde-kers;Wilde Kers;Tante Rie;Losse thee;;;63;40;1;;;;;https://tanterie.nl/products/wilde-kers
winterchai;Winterchai;Tante Rie;Losse thee;;;66;64;1;;;;;https://tanterie.nl/products/winterchai
wintersfeer;Wintersfeer;Tante Rie;Losse thee;;;62;67;1;;;;;https://tanterie.nl/products/wintersfeer
xl-beker-0-5l-halloween-toverdrank;XL Beker 0,5l Halloween Toverdrank;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/xl-beker-0-5l-halloween-toverdrank
xl-beker-0-5l-sint-iconen;XL Beker 0,5l Sint Iconen;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/xl-beker-0-5l-sint-iconen
zilver-thee-bewaarblik-100-gram-kopie;Zilver thee bewaarblik (50 gram);Tante Rie;;;;62;128;2;;;;ja;https://tanterie.nl/products/zilver-thee-bewaarblik-100-gram-kopie
zoethout;Zoethout;Tante Rie;Losse thee;;;64;55;1;;;;;https://tanterie.nl/products/zoethout
zonnetje-in-huis;Zonnetje In Huis;Tante Rie;Losse thee;;;69;40;1;;;;;https://tanterie.nl/products/zonnetje-in-huis
